"DateTime","Depth","Observed_OXY_oxy","Modeled_OXY_oxy"
2016-06-23,0.1,221.8715625,265.589612478043
2016-06-23,1,213.546875,264.925006498935
2016-06-23,2,231.4146875,264.792391636259
2016-06-23,3,332.0740625,263.257727784778
2016-06-23,4,364.9259375,234.294795020249
2016-06-23,5,169.0271875,212.078111889498
2016-06-23,6,385.8725,290.223551227562
2016-06-23,7,415.0559375,301.594257031582
2016-06-23,8,414.4434375,301.47010320929
2016-06-23,9,415.1615625,301.542330783813
2016-06-23,9.2,413.0153125,301.542330783813
2016-06-26,0.1,227.2140625,258.010650510975
2016-06-26,1,253.5634375,257.777956751787
2016-06-26,2,279.60875,257.717973301812
2016-06-26,3,337.1121875,255.592749240107
2016-06-26,4,244.5390625,224.85979499114
2016-06-26,5,151.508125,198.051000338721
2016-06-26,6,399.6759375,282.583553888776
2016-06-26,7,400.1484375,297.178976130454
2016-06-26,8,404.590625,297.052691807504
2016-06-26,9,401.3603125,297.126054457408
2016-06-26,9.2,403.0078125,297.126054457408
2016-06-27,0.1,262.0315625,257.022737658052
2016-06-27,1,187.9525,256.866789138685
2016-06-27,2,230.576875,256.820504051867
2016-06-27,3,322.1275,253.318079902151
2016-06-27,4,232.848125,221.236595546249
2016-06-27,5,216.6503125,193.313901304737
2016-06-27,6,232.201875,280.283017333557
2016-06-27,7,239.6575,295.645310032679
2016-06-27,8,386.7628125,295.518994680497
2016-06-27,9,389.5721875,295.592454708482
2016-06-27,9.2,382.4746875,295.592454708482
2016-06-28,0.1,282.7396875,255.820804943935
2016-06-28,1,183.44875,255.658964245719
2016-06-28,2,172.5240625,255.609730318955
2016-06-28,3,204.694375,250.820019379974
2016-06-28,4,194.6353125,217.54934030057
2016-06-28,5,182.6515625,188.343532688546
2016-06-28,6,196.581875,277.66029506539
2016-06-28,7,212.5815625,294.085538951165
2016-06-28,8,376.1203125,293.958484000948
2016-06-28,9,389.3440625,294.032338997573
2016-06-28,9.2,393.0590625,294.032338997573
2016-06-30,0.1,190.063125,255.300798438057
2016-06-30,1,246.470625,254.978750799987
2016-06-30,2,279.11,254.900930407139
2016-06-30,3,275.2946875,246.225143779668
2016-06-30,4,270.6334375,209.657231154301
2016-06-30,5,240.176875,178.360790725316
2016-06-30,6,140.665,272.91928004924
2016-06-30,7,388.8965625,290.873214794133
2016-06-30,8,393.7240625,290.745734833311
2016-06-30,9,393.921875,290.819951680524
2016-06-30,9.2,395.275,290.819951680524
2016-07-05,0.1,258.9853125,255.747478431764
2016-07-05,1,261.8446875,255.27838904699
2016-07-05,2,264.789375,255.14567448572
2016-07-05,3,268.59375,234.565672148963
2016-07-05,4,233.765625,189.324382710187
2016-07-05,5,117.8940625,152.011198705221
2016-07-05,6,124.3028125,258.019446253474
2016-07-05,7,370.88125,282.244220714452
2016-07-05,8,374.998125,282.111339307953
2016-07-05,9,377.8146875,282.18822370501
2016-07-05,9.2,378.0215625,282.18822370501
2016-07-07,0.1,178.7528125,256.135122748573
